id;photo;photo_content_type;nom;prenom;statut;niveau;etat_stud;contact;email;add_parent
1;../fake-data/blob/hipster.png;image/png;a;orchid navigating Fundamental;indigo Kids;Sausages conglomeration;false;methodical e-commerce Berkshire;Eugnie37@gmail.com;Tasty
2;../fake-data/blob/hipster.png;image/png;Fresh;User-friendly impactful Alsace;copy;green c;true;b e-business 24;Bouchard_Masson@yahoo.fr;tan
3;../fake-data/blob/hipster.png;image/png;vortals Saint-Dominique;zero Rubber panel;Small Concrete;bypass Plastic concept;true;Universal support;Aloyse38@gmail.com;Borders Account
4;../fake-data/blob/hipster.png;image/png;Pataca;d'Alésia TCP withdrawal;c b c;c Avon Zimbabwe;true;a;Eudoxie36@hotmail.fr;leverage
5;../fake-data/blob/hipster.png;image/png;lime;Metal;Guarani;forecast compressing Analyste;true;Fantastic transmitter;Raymond.Noel@gmail.com;index
6;../fake-data/blob/hipster.png;image/png;Corse dot-com 1080p;Berkshire b Cross-platform;Account quantify;systematic;false;Loire Berkshire Proactive;Gaspar.Cousin36@hotmail.fr;Handcrafted Chips index
7;../fake-data/blob/hipster.png;image/png;architectures Table;payment invoice robust;green bottom-line;Cambridgeshire Versatile;false;a connect a;Fleur.Denis@hotmail.fr;du
8;../fake-data/blob/hipster.png;image/png;b Hat;a;Tools;deposit Shoes Soap;false;Small Books;Lorrain.Simon@yahoo.fr;Cambridgeshire
9;../fake-data/blob/hipster.png;image/png;d'Assas;Cameroun Implemented;bottom-line synthesizing killer;pixel executive ubiquitous;false;envisioneer;Clestin40@hotmail.fr;value-added productize middleware
10;../fake-data/blob/hipster.png;image/png;Tasty Serbie;supply-chains Tasty;du Bretagne didactic;Automotive drive;false;policy;Mosette.Duval@hotmail.fr;1080p grey
