id;photo;photo_content_type;cnib;nom;prenom;statut;contact;email;salaire_horaire;salaire_mensuel
1;../fake-data/blob/hipster.png;image/png;Savings Chair Metal;c withdrawal;Agent Swaziland alarm;portals ivory;driver mobile;Ludovic_Jean28@hotmail.fr;14629;40531
2;../fake-data/blob/hipster.png;image/png;navigating;transmitting;Practical capacitor;Horizontal;installation Fish;Cyprien.Roche@yahoo.fr;10003;28855
3;../fake-data/blob/hipster.png;image/png;bus Outdoors reinvent;initiative;b client-driven b;microchip synthesize;yellow Sports;Beuve96@yahoo.fr;95919;94211
4;../fake-data/blob/hipster.png;image/png;Alsace;SAS Borders;mobile Pound programming;Lorraine programming transmit;white magnetic;Franois.Barre85@hotmail.fr;25398;79896
5;../fake-data/blob/hipster.png;image/png;Picardie Berkshire Papouasie-Nouvelle-Guinée;b orange red;Sports;Gorgeous overriding;sky RAM open-source;Paule.Rolland@yahoo.fr;62778;3019
6;../fake-data/blob/hipster.png;image/png;calculate connect 1080p;capability;Tobago Team-oriented Garden;port JBOD Basse-Normandie;interfaces payment ROI;Lopold_Jean94@gmail.com;19561;80837
7;../fake-data/blob/hipster.png;image/png;violet;c Coordinateur;Multi-layered;Loan b index;models heuristic Picardie;Cassandre85@hotmail.fr;75973;86093
8;../fake-data/blob/hipster.png;image/png;parsing analyzing;lavender b;even-keeled Granite;encompassing auxiliary Granite;Coordinateur;Galle.Marie@yahoo.fr;17648;19976
9;../fake-data/blob/hipster.png;image/png;Investment;salmon d'Assas;Investment visualize digital;navigating Handmade;c impactful;Adalbaude_Andre@yahoo.fr;87544;32995
10;../fake-data/blob/hipster.png;image/png;Caribbean user-facing alarm;de input Zimbabwe;Towels Lorraine c;Customizable d'Alésia;a;Abelin_Masson@hotmail.fr;71215;61726
